Time,Voltage,Resistance,Tem
1,1.61,21000,7.361538605
2,1.57,21770.19,6.951890611
3,1.55,22169.82,6.131475367
4,1.54,22373.42,5.721827373
5,1.53,22683.71,5.516443748
6,1.54,22476.19,5.311619751
7,1.58,21574.08,5.17507042
8,1.64,20537.32,5.243345086
9,1.72,19145.3,5.516443748
10,1.78,18104.4,5.858376705
11,1.84,17207.45,6.336858992
12,1.89,16502.59,6.883056317
13,1.94,15833.33,7.361538605
14,1.99,15073.53,7.771746227
15,2.06,14299.29,8.113119555
16,1.84,17135.28,8.318503181
17,1.64,20537.32,8.455052512
18,1.61,21000,6.609957655
19,1.63,20720.72,5.721827373
20,1.64,20446.43,5.858376705
21,1.66,20088.23,6.405133658
22,1.69,19566.47,6.814781652
23,1.74,18816.9,7.361538605
24,1.73,18898.31,7.771746227
25,1.74,18735.96,8.113119555
26,1.74,18735.96,8.318503181
27,1.75,18575.42,8.591601843
28,1.77,18259.67,8.864700506
29,1.78,18104.4,9.070084131
30,1.81,17574.12,9.343182793
31,1.83,17352.94,9.616281456
32,1.83,17280,9.889939747
33,1.86,16921.05,10.16303841
34,1.87,16780.1,10.36842203
35,1.88,16571.43,10.70979536
36,1.88,16640.63,10.84634469
37,1.89,16434.11,11.12000298
38,1.9,16365.98,11.39310165
39,1.9,16298.2,11.46137631
40,1.92,16030.54,11.59792564
41,1.93,15898.73,11.87158393
42,1.95,15639.1,11.9398586
43,1.98,15197.04,12.07640793
44,2.01,14890.51,12.48661555
45,2.02,14710.15,12.89626355
46,2.03,14591.35,13.37474584
47,2.05,14415.28,13.6478445
48,2.07,14184.4,13.85322812
49,2.09,13957.85,14.19460145
50,2.11,13735.5,14.46825974
51,2.12,13571.43,14.7413584
52,2.14,13409.61,15.01445707
53,2.15,13302.96,15.21984069
54,2.17,13092.55,15.42466469
55,2.17,13040.54,15.69776335
56,2.19,12783.96,15.97142164
57,2.22,12533.04,16.38106964
58,2.24,12287.58,16.85955192
59,2.27,12047.41,17.13265059
60,2.28,11952.79,17.61113287
61,2.29,11812.37,17.95306583
62,2.31,11627.91,18.22616449
63,2.33,11446.54,18.49926316
64,2.35,11312.5,18.63637212
65,2.39,10963.12,18.90947078
66,2.39,10877.55,19.18256944
67,2.43,10542.17,19.72932639
68,2.45,10419.16,20.07125935
69,2.46,10297.62,20.6180163
70,2.49,10058.82,20.95938963
71,2.49,10058.82,21.30132259
72,2.5,9980.47,21.57442125
73,2.51,9941.52,21.77924525
74,2.52,9825.58,21.98462887
75,2.54,9710.98,22.18945287
76,2.56,9560.23,22.46255153
77,2.58,9411.77,22.80448449
78,2.59,9301.89,23.00930849
79,2.61,9121.5,23.35124144
80,2.63,9014.87,23.69261477
81,2.65,8839.78,24.03454773
82,2.67,8702.01,24.37592106
83,2.69,8600,24.64901972
84,2.71,8432.43,24.99095267
85,2.73,8300.54,25.332326
86,2.75,8202.85,25.67425896
87,2.76,8138.3,26.01563229
88,2.77,8074.2,26.28929058
89,2.78,7978.91,26.49411457
90,2.81,7822.3,26.76777287
91,2.83,7698.96,27.04087153
92,2.83,7637.93,27.45107915
93,2.85,7517.12,27.72417781
94,2.86,7487.18,27.99727648
95,2.87,7427.6,28.27093477
96,2.88,7338.98,28.54403343
97,2.9,7251.27,28.88596639
98,2.91,7164.43,29.15906505
99,2.91,7164.43,29.43216371
100,2.92,7135.68,29.77409667
101,2.94,7021.63,29.705822
102,2.94,6993.36,29.77409667
103,2.94,6993.36,29.910646
104,2.96,6909.09,30.11546999
105,2.99,6743.04,30.25257895
106,3.01,6607.14,30.73050161
107,3.03,6500,31.0041599
108,3.04,6473.43,31.34553323
109,3.06,6341.85,31.68746619
110,3.06,6315.79,32.02883952
111,3.06,6315.79,32.37077247
112,3.07,6289.81,32.43904714
113,3.07,6263.91,32.50732181
114,3.08,6238.1,32.64387114
115,3.12,6034.48,32.7121458
116,3.12,6034.48,33.05407876
117,3.13,5959.44,33.46372675
118,3.14,5909.8,33.73738504
119,3.15,5885.09,34.01048371
120,3.16,5811.44,34.14703304
121,3.18,5738.46,34.35241666
122,3.19,5666.16,34.62551532
123,3.2,5642.2,34.96744828
124,3.22,5523.52,35.17227228
125,3.24,5453.17,35.44537094
126,3.25,5383.46,35.7873039
127,3.26,5314.37,36.06040256
128,3.27,5268.66,36.40233552
129,3.28,5223.21,36.74370884
130,3.29,5200.59,37.01736713
131,3.3,5155.55,37.22219113
132,3.31,5088.49,37.42701513
133,3.33,5022.03,37.63183913
134,3.34,4978.04,37.90549742
135,3.35,4934.31,38.17859608
136,3.35,4912.54,38.3839797
137,3.37,4847.6,38.52052904
138,3.38,4804.63,38.7936277
139,3.4,4719.42,38.99845169
140,3.4,4719.42,39.27210999
141,3.4,4719.42,39.61348331
142,3.4,4698.28,39.68175798
143,3.41,4656.16,39.75059227
144,3.42,4614.29,39.8871416
145,3.43,4572.65,40.16024027
146,3.45,4510.64,40.43389856
147,3.45,4490.08,40.77527189
148,3.47,4428.77,40.91182122
149,3.47,4408.45,41.18547951
150,3.48,4367.98,41.32202884
151,3.48,4347.83,41.52685284
152,3.49,4307.69,41.66340217
153,3.5,4287.71,41.86878579
154,3.5,4267.78,42.00533512
155,3.51,4228.09,42.14188446
156,3.52,4208.33,42.27843379
157,3.53,4149.38,42.48381741
158,3.58,3975.41,42.68864141
159,3.55,4071.53,42.96174007
160,3.55,4071.53,43.23539836
161,3.56,4032.92,43.30367303
162,3.57,4013.7,43.50849702
163,3.57,3994.53,43.71332102
164,3.58,3956.34,43.85042998
165,3.59,3937.33,44.12352864
166,3.6,3899.46,44.32835264
167,3.61,3861.79,44.46490197
168,3.61,3861.79,44.60201093
169,3.62,3824.32,44.73856026
